sample_id,t,x,y
878,29.26,133.51,103.75
879,29.3,132.74,104.52
880,29.33,131.98,104.52
881,29.36,131.22,105.28
882,29.4,130.45,105.28
883,29.43,130.45,105.28
884,29.46,129.69,105.28
885,29.5,129.69,106.04
886,29.53,129.69,106.04
887,29.56,128.93,106.81
888,29.6,128.93,107.57
889,29.63,128.93,108.33
890,29.66,128.17,109.09
891,29.7,128.17,109.09
892,29.73,128.17,109.86
893,29.76,127.4,110.62
894,29.8,127.4,111.38
895,29.83,126.64,111.38
896,29.86,127.4,111.38
897,29.9,127.4,111.38
898,29.93,126.64,112.15
899,29.96,126.64,112.91
900,30,126.64,112.91
901,30.03,126.64,113.67
902,30.06,127.4,113.67
903,30.1,127.4,113.67
904,30.13,127.4,115.2
905,30.16,127.4,115.2
906,30.2,127.4,115.96
907,30.23,127.4,116.72
908,30.26,127.4,116.72
909,30.3,127.4,117.49
910,30.33,127.4,117.49
911,30.36,128.17,117.49
912,30.4,128.17,117.49
913,30.43,128.93,116.72
914,30.46,128.17,117.49
915,30.5,128.93,117.49
916,30.53,128.93,117.49
917,30.56,128.93,116.72
918,30.6,128.93,117.49
919,30.63,128.93,117.49
920,30.66,129.69,116.72
921,30.7,129.69,117.49
922,30.73,129.69,117.49
923,30.76,129.69,117.49
924,30.8,129.69,116.72
925,30.83,129.69,118.25
926,30.86,129.69,117.49
927,30.9,129.69,118.25
928,30.93,130.45,118.25
929,30.96,130.45,118.25
930,31,130.45,117.49
931,31.03,130.45,118.25
932,31.06,131.22,117.49
933,31.1,130.45,117.49
934,31.13,131.22,117.49
935,31.16,131.22,117.49
936,31.2,131.22,117.49
937,31.23,131.22,117.49
938,31.26,131.22,116.72
939,31.3,131.22,117.49
940,31.33,131.22,117.49
941,31.36,131.22,116.72
942,31.4,131.98,117.49
943,31.43,131.98,117.49
944,31.46,131.98,117.49
945,31.5,131.98,117.49
946,31.53,131.98,117.49
947,31.56,132.74,117.49
948,31.6,136.56,120.54
949,31.63,128.93,115.2
950,31.66,128.93,115.2
951,31.7,132.74,117.49
952,31.73,132.74,117.49
953,31.77,132.74,118.25
954,31.8,132.74,117.49
955,31.83,132.74,118.25
956,31.87,132.74,117.49
957,31.9,132.74,117.49
958,31.93,132.74,117.49
959,31.97,132.74,117.49
960,32,132.74,117.49
961,32.03,132.74,117.49
962,32.06,131.98,117.49
963,32.1,131.98,117.49
964,32.13,131.98,117.49
965,32.16,131.98,116.72
966,32.2,131.98,116.72
967,32.23,131.98,116.72
968,32.27,131.98,116.72
969,32.3,131.98,116.72
970,32.33,131.98,116.72
971,32.37,131.98,116.72
972,32.4,131.98,116.72
973,32.43,131.98,116.72
974,32.47,131.98,116.72
975,32.5,131.98,116.72
976,32.53,131.98,116.72
977,32.56,131.98,117.49
978,32.6,131.98,117.49
979,32.63,131.98,118.25
980,32.66,131.98,118.25
981,32.7,131.98,118.25
982,32.73,131.98,118.25
983,32.77,131.98,119.01
984,32.8,131.98,119.01
985,32.83,131.22,119.01
986,32.87,131.98,119.01
987,32.9,131.98,118.25
988,32.93,131.98,118.25
989,32.97,131.98,118.25
990,33,131.22,118.25
991,33.03,131.98,118.25
992,33.07,131.98,118.25
993,33.1,131.98,118.25
994,33.13,131.98,118.25
995,33.17,131.98,118.25
996,33.2,132.74,119.01
997,33.23,132.74,118.25
